layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,1,2800
input_layernorm,1,0,1,18144
q_proj,1,0,1,19888
k_proj,1,0,1,20272
v_proj,1,0,1,2016
rope,1,0,1,26095
post_layernorm,1,0,1,18640
act_fn,1,0,1,4144
final_layernorm,1,0,1,18528
lm_head,1,0,1,736
embedding,2,0,1,3423
input_layernorm,2,0,1,21008
q_proj,2,0,1,20079
k_proj,2,0,1,20545
v_proj,2,0,1,2016
rope,2,0,1,29904
post_layernorm,2,0,1,21505
act_fn,2,0,1,4208
final_layernorm,2,0,1,21504
lm_head,2,0,1,736
embedding,3,0,1,4064
input_layernorm,3,0,1,20718
q_proj,3,0,1,20272
k_proj,3,0,1,20815
v_proj,3,0,1,2000
rope,3,0,1,30272
post_layernorm,3,0,1,21119
act_fn,3,0,1,4224
final_layernorm,3,0,1,21185
lm_head,3,0,1,736
embedding,4,0,1,4687
input_layernorm,4,0,1,22257
q_proj,4,0,1,20720
k_proj,4,0,1,20751
v_proj,4,0,1,2016
rope,4,0,1,31215
post_layernorm,4,0,1,22384
act_fn,4,0,1,4256
final_layernorm,4,0,1,22495
lm_head,4,0,1,736
embedding,5,0,1,5488
input_layernorm,5,0,1,21838
q_proj,5,0,1,21007
k_proj,5,0,1,21055
v_proj,5,0,1,2016
rope,5,0,1,31584
post_layernorm,5,0,1,22368
act_fn,5,0,1,4384
final_layernorm,5,0,1,22015
lm_head,5,0,1,736
embedding,6,0,1,6000
input_layernorm,6,0,1,22000
q_proj,6,0,1,20896
k_proj,6,0,1,20768
v_proj,6,0,1,2015
rope,6,0,1,31679
post_layernorm,6,0,1,22191
act_fn,6,0,1,4512
final_layernorm,6,0,1,22271
lm_head,6,0,1,736
embedding,7,0,1,6496
input_layernorm,7,0,1,22191
q_proj,7,0,1,21055
k_proj,7,0,1,21087
v_proj,7,0,1,2016
rope,7,0,1,31951
post_layernorm,7,0,1,22527
act_fn,7,0,1,4511
final_layernorm,7,0,1,22592
lm_head,7,0,1,736
embedding,8,0,1,7120
input_layernorm,8,0,1,24336
q_proj,8,0,1,20992
k_proj,8,0,1,21279
v_proj,8,0,1,2048
rope,8,0,1,31919
post_layernorm,8,0,1,24558
act_fn,8,0,1,4608
final_layernorm,8,0,1,24416
lm_head,8,0,1,736
embedding,9,0,1,7935
input_layernorm,9,0,1,24577
q_proj,9,0,1,21423
k_proj,9,0,1,20832
v_proj,9,0,1,2112
rope,9,0,1,32672
post_layernorm,9,0,1,24527
act_fn,9,0,1,4560
final_layernorm,9,0,1,24528
lm_head,9,0,1,736
embedding,10,0,1,8559
input_layernorm,10,0,1,24463
q_proj,10,0,1,21392
k_proj,10,0,1,21487
v_proj,10,0,1,2112
rope,10,0,1,32575
post_layernorm,10,0,1,25056
act_fn,10,0,1,4656
final_layernorm,10,0,1,24736
lm_head,10,0,1,736
embedding,11,0,1,9103
input_layernorm,11,0,1,24271
q_proj,11,0,1,21216
k_proj,11,0,1,21440
v_proj,11,0,1,2176
rope,11,0,1,32513
post_layernorm,11,0,1,24896
act_fn,11,0,1,4608
final_layernorm,11,0,1,24928
lm_head,11,0,1,736
embedding,12,0,1,9775
input_layernorm,12,0,1,24799
q_proj,12,0,1,21424
k_proj,12,0,1,21697
v_proj,12,0,1,2080
rope,12,0,1,33392
post_layernorm,12,0,1,24718
act_fn,12,0,1,4672
final_layernorm,12,0,1,24544
lm_head,12,0,1,736
embedding,13,0,1,10320
input_layernorm,13,0,1,24544
q_proj,13,0,1,21665
k_proj,13,0,1,21328
v_proj,13,0,1,2175
rope,13,0,1,33025
post_layernorm,13,0,1,25168
act_fn,13,0,1,4672
final_layernorm,13,0,1,25024
lm_head,13,0,1,736
embedding,14,0,1,11200
input_layernorm,14,0,1,24606
q_proj,14,0,1,21712
k_proj,14,0,1,21776
v_proj,14,0,1,2191
rope,14,0,1,32975
post_layernorm,14,0,1,25280
act_fn,14,0,1,4831
final_layernorm,14,0,1,25247
lm_head,14,0,1,736
embedding,15,0,1,11536
input_layernorm,15,0,1,24800
q_proj,15,0,1,21616
k_proj,15,0,1,21888
v_proj,15,0,1,2176
rope,15,0,1,33455
post_layernorm,15,0,1,25215
act_fn,15,0,1,4800
final_layernorm,15,0,1,24960
lm_head,15,0,1,736
embedding,16,0,1,12223
input_layernorm,16,0,1,29424
q_proj,16,0,1,21185
k_proj,16,0,1,21696
v_proj,16,0,1,2112
rope,16,0,1,33407
post_layernorm,16,0,1,29345
act_fn,16,0,1,4960
final_layernorm,16,0,1,29151
lm_head,16,0,1,736
embedding,17,0,1,3312
input_layernorm,17,0,1,29232
q_proj,17,0,1,21407
k_proj,17,0,1,21936
v_proj,17,0,1,2144
rope,17,0,1,33487
post_layernorm,17,0,1,29473
act_fn,17,0,1,5024
final_layernorm,17,0,1,29441
lm_head,17,0,1,736
embedding,18,0,1,3280
input_layernorm,18,0,1,29455
q_proj,18,0,1,21472
k_proj,18,0,1,22096
v_proj,18,0,1,2128
rope,18,0,1,34127
post_layernorm,18,0,1,29409
act_fn,18,0,1,5088
final_layernorm,18,0,1,29422
lm_head,18,0,1,736
embedding,19,0,1,3360
input_layernorm,19,0,1,29264
