layer_name,input,kv_cache,tp_size,latency(ns)
embedding,1,0,2,2864
input_layernorm,1,0,2,17886
q_proj,1,0,2,21406
k_proj,1,0,2,19008
v_proj,1,0,2,1920
rope,1,0,2,24352
post_layernorm,1,0,2,18720
act_fn,1,0,2,4160
final_layernorm,1,0,2,18593
lm_head,1,0,2,736
embedding,2,0,2,3552
input_layernorm,2,0,2,20671
q_proj,2,0,2,21903
k_proj,2,0,2,19777
v_proj,2,0,2,1888
rope,2,0,2,30014
post_layernorm,2,0,2,21165
act_fn,2,0,2,4256
final_layernorm,2,0,2,20990
lm_head,2,0,2,736
embedding,3,0,2,4128
input_layernorm,3,0,2,20911
q_proj,3,0,2,21664
k_proj,3,0,2,20384
v_proj,3,0,2,1984
rope,3,0,2,29566
post_layernorm,3,0,2,20655
act_fn,3,0,2,4384
final_layernorm,3,0,2,21008
lm_head,3,0,2,736
embedding,4,0,2,4640
input_layernorm,4,0,2,21920
q_proj,4,0,2,22078
k_proj,4,0,2,20446
v_proj,4,0,2,2048
rope,4,0,2,28864
post_layernorm,4,0,2,21456
act_fn,4,0,2,4224
final_layernorm,4,0,2,22432
lm_head,4,0,2,736
embedding,5,0,2,5440
input_layernorm,5,0,2,21567
q_proj,5,0,2,22432
k_proj,5,0,2,20511
v_proj,5,0,2,2080
rope,5,0,2,29103
post_layernorm,5,0,2,21967
act_fn,5,0,2,4255
final_layernorm,5,0,2,22208
lm_head,5,0,2,736
embedding,6,0,2,5952
input_layernorm,6,0,2,22159
q_proj,6,0,2,22400
k_proj,6,0,2,20752
v_proj,6,0,2,1984
rope,6,0,2,31360
post_layernorm,6,0,2,22432
act_fn,6,0,2,4320
final_layernorm,6,0,2,22176
lm_head,6,0,2,736
embedding,7,0,2,6432
input_layernorm,7,0,2,22384
q_proj,7,0,2,22575
k_proj,7,0,2,21551
v_proj,7,0,2,2015
rope,7,0,2,30080
post_layernorm,7,0,2,21936
act_fn,7,0,2,4352
final_layernorm,7,0,2,22303
lm_head,7,0,2,736
embedding,8,0,2,7200
input_layernorm,8,0,2,24447
q_proj,8,0,2,23232
k_proj,8,0,2,20414
v_proj,8,0,2,2048
rope,8,0,2,29887
post_layernorm,8,0,2,24112
act_fn,8,0,2,4352
final_layernorm,8,0,2,24816
lm_head,8,0,2,736
embedding,9,0,2,7984
input_layernorm,9,0,2,24191
q_proj,9,0,2,22977
k_proj,9,0,2,20351
v_proj,9,0,2,2176
rope,9,0,2,30430
post_layernorm,9,0,2,24528
act_fn,9,0,2,4416
final_layernorm,9,0,2,24416
lm_head,9,0,2,736
embedding,10,0,2,8544
input_layernorm,10,0,2,24399
q_proj,10,0,2,23070
k_proj,10,0,2,20767
v_proj,10,0,2,2016
rope,10,0,2,31326
post_layernorm,10,0,2,24401
act_fn,10,0,2,4464
final_layernorm,10,0,2,24383
lm_head,10,0,2,736
